Name ,Type,CLASS,Country,Displacement,Length,Range,Speed,Armament,Pennant No.,Homeport,Lat,Long,Can destroy,Best Suited for,WEAPONS,RADAR,ENGINE,COMM
INS Visakhapatnam,Destroyer,Kolkata,India,"7,300 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS, for a total of 32 Barak 8 missiles  
2 × 8-cell UVLM for 16 BrahMos missiles 
1 × OTO Melara 76 mm naval gun
4 × AK-630 CIWS
4 × 533 mm Torpedo tubes
2 × RBU-6000 anti-submarine rocket launchers",D66,Mumbai,19.0821978,72.7410981,"Frigates, Destroyer",Anti Piracy,61,67,94,85
INS Kolkata,Destroyer,Kolkata,India,7400 long tons,163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS, for a total of 32 Barak 8 missiles  
2 × 8-cell UVLM for 16 BrahMos missiles 
1 × OTO Melara 76 mm naval gun
4 × AK-630 CIWS
4 × 533 mm Torpedo tubes
2 × RBU-6000 anti-submarine rocket launchers",D63,Mumbai,19.285178,71.848633,"Frigates, Destroyer",Anti Piracy,81,88,84,78
INS Kochi,Destroyer,Kolkata,India,"7,400 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"2 × 8-cell VLS for Barak 8 LR-SAM missiles
2 × 8-cell UVLM for 16 BrahMos anti-ship and l
And-attack missiles
76 mm Oto Melara SRGM gun
4 × AK-630 CIWS
2 × twin tube 533mm torpedo launchers
2 × RBU-6000 anti-submarine rockets",D64,Mumbai,19.3821978,70.7410981,"Frigates, Destroyer",Anti Piracy,53,68,91,86
INS Chennai,Destroyer,Kolkata,India,"7,400 long tons",163 m (535 ft),6000,30 kn (56 km/h; 35 mph),"4 × 8-cell VLS for Barak 8 LR-SAM missiles
2 × 8-cell UVLM for 16 BrahMos anti-ship and l
And-attack missiles
76 mm Oto Melara SRGM gun
4 × AK-630 CIWS
2 × twin tube 533mm torpedo launchers
2 × RBU-6000 anti-submarine rockets",D65,Mumbai,19.067456,71.8460981,"Frigates, Destroyer",Anti Piracy,80,85,84,80
INS Mysore,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"16 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D60,Mumbai,18.0821978,72.5510981,"Frigates, Destroyer",Anti Piracy,58,62,83,80
INS Delhi,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"17 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D61,Mumbai,18.1221978,70.5410981,"Frigates, Destroyer",Anti Piracy,48,50,94,83
INS Mumbai,Destroyer,Delhi,India,"6,200 tonnes",163 m (535 ft),4500,32 knots (59 km/h; 37 mph),"17 × Kh-35E SSM
16 × Barak 1
2 × Shtil SAM systems (48 missiles)
100 mm AK-100 gun
2 × 30 mm AK-630 gatling guns
2 × RBU-6000 rocket launchers
Quintuple 533mm torpedo tubes
2 rails of depth charges",D62,Mumbai,16.3821978,69.7410981,"Frigates, Destroyer",Anti Piracy,95,90,97,78
INS Rana,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D52,Visakhapatnam,9.341231,74.355887,"Frigates, Destroyer",Anti Piracy,52,60,79,80
INS Ranvijay,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D54,Visakhapatnam,14.4386225,83.1225031,"Frigates, Destroyer",Anti Piracy,67,70,78,86
INS Ranvir,Destroyer,Rajput,India,"4,974 tonnes",147 m (482 ft),4000,35 knots (65 km/h),"4 × SS-N-2D Styx AShM missiles
2 × S-125M (NATO: SA-N-1) SAM launchers
76.2 mm main gun
4 × 30 mm AK-230 CIWS
533 mm PTA quintuple torpedo tube launcher
2 × RBU-6000 anti-submarine mortars",D55,Visakhapatnam,15.7386225,83.1225031,"Frigates, Destroyer",Anti Piracy,87,90,82,81
